"source";"translation";"type";"module";"status";"customer"
"lang_code";"uk-UA";"M";"";"T";"N"
"lang_name";"Українська";"M";"";"T";"N"
"lang_english_name";"Ukrainian";"M";"";"T";"N"
"lang_author";"Moguls Audax";"M";"";"T";"N"
"lang_version";"1.0.0.0";"M";"";"T";"N"
"lang_date_format";"dd/MM/yyyy";"M";"";"T";"N"
"lang_time_format";"HH:mm:ss";"M";"";"T";"N"
"lang_short_time_format";"HH:mm";"M";"";"T";"N"
"lang_thousands_separator";"";"M";"";"T";"N"
"lang_decimal_separator";",";"M";"";"T";"N"
"lang_translation_percentage";"2";"M";"";"T";"N"
"Name";"Імʼя";"B";"";"T";"N"
"Email";"Електронна пошта";"B";"";"T";"N"
"Configuration";"Configuration";"B";"";"N";"N"
"Tools";"Tools";"B";"";"N";"N"
"Clean Install";"Clean Install";"S";"";"N";"N"
"Application Update";"Application Update";"S";"";"N";"N"
"First Name";"Імʼя";"B";"";"T";"N"
"Last Name";"Прізвище";"B";"";"T";"N"
"Username";"Імʼя користувача";"B";"";"T";"N"
"Password";"Пароль";"B";"";"T";"N"
"Subject";"Subject";"B";"";"N";"N"
"Selected username already exists";"Selected username already exists";"S";"";"N";"N"
"Application Name";"Application Name";"S";"";"N";"N"
"New password URL";"New password URL";"S";"";"N";"N"
"New password link";"New password link";"S";"";"N";"N"
"Request valid until";"Request valid until";"S";"";"N";"N"
"To reset your password click here";"To reset your password click here";"S";"";"N";"N"
"Request new password";"Request new password";"B";"";"N";"N"
"Wrong username/password";"Wrong username/password";"S";"";"N";"N"
"Select account";"Select account";"B";"";"N";"N"
"Authentication failed";"Authentication failed";"S";"";"N";"N"
"User authenticated. Logging in.";"User authenticated. Logging in.";"S";"";"N";"N"
"Your password was changed. Go back to login dialog and login.";"Your password was changed. Go back to login dialog and login.";"S";"";"N";"N"
"Logout successful";"Logout successful";"S";"";"N";"N"
"Logout error";"Logout error";"S";"";"N";"N"
"Invalid password request. You have to request again new password before trying to set password.";"Invalid password request. You have to request again new password before trying to set password.";"S";"";"N";"N"
"Wrong username/password (Username: %s)";"Wrong username/password (Username: %s)";"S";"";"N";"N"
"Authentication failed for user %s";"Authentication failed for user %s";"S";"";"N";"N"
"User %s authenticated. Logging in.";"User %s authenticated. Logging in.";"S";"";"N";"N"
"User";"User";"B";"";"N";"N"
"%s saved";"%s saved";"B";"";"N";"N"
"Asia/PacificRegion";"Asia/PacificRegion";"B";"";"N";"N"
"Europe";"Europe";"B";"";"N";"N"
"Andorra";"Andorra";"B";"";"N";"N"
"United Arab Emirates";"United Arab Emirates";"B";"";"N";"N"
"Afghanistan";"Afghanistan";"B";"";"N";"N"
"Antigua and Barbuda";"Antigua and Barbuda";"B";"";"N";"N"
"Anguilla";"Anguilla";"B";"";"N";"N"
"Albania";"Albania";"B";"";"N";"N"
"Armenia";"Armenia";"B";"";"N";"N"
"Netherlands Antilles";"Netherlands Antilles";"B";"";"N";"N"
"Angola";"Angola";"B";"";"N";"N"
"Antarctica";"Antarctica";"B";"";"N";"N"
"Argentina";"Argentina";"B";"";"N";"N"
"American Samoa";"American Samoa";"B";"";"N";"N"
"Austria";"Austria";"B";"";"N";"N"
"Australia";"Australia";"B";"";"N";"N"
"Aruba";"Aruba";"B";"";"N";"N"
"Azerbaijan";"Azerbaijan";"B";"";"N";"N"
"Bosnia and Herzegovina";"Bosnia and Herzegovina";"B";"";"N";"N"
"Barbados";"Barbados";"B";"";"N";"N"
"Bangladesh";"Bangladesh";"B";"";"N";"N"
"Belgium";"Belgium";"B";"";"N";"N"
"Burkina Faso";"Burkina Faso";"B";"";"N";"N"
"Bulgaria";"Bulgaria";"B";"";"N";"N"
"Bahrain";"Bahrain";"B";"";"N";"N"
"Burundi";"Burundi";"B";"";"N";"N"
"Benin";"Benin";"B";"";"N";"N"
"Bermuda";"Bermuda";"B";"";"N";"N"
"Brunei Darussalam";"Brunei Darussalam";"B";"";"N";"N"
"Bolivia";"Bolivia";"B";"";"N";"N"
"Brazil";"Brazil";"B";"";"N";"N"
"Bahamas";"Bahamas";"B";"";"N";"N"
"Bhutan";"Bhutan";"B";"";"N";"N"
"Bouvet Island";"Bouvet Island";"B";"";"N";"N"
"Botswana";"Botswana";"B";"";"N";"N"
"Belarus";"Belarus";"B";"";"N";"N"
"Belize";"Belize";"B";"";"N";"N"
